corpus,config,kem,replicate,seed,file,extension,family,route,size_bytes,payload_bytes,cipher_bytes,entropy_bits_per_byte,t_io_ms,t_entropy_ms,t_compress_ms,t_kem_keygen_ms,t_kem_encaps_ms,t_kem_decaps_ms,t_kdf_ms,t_aes_encrypt_ms,t_aes_decrypt_ms,t_total_ms,verified,timestamp
D2,B,python,0,20260801,d2_000000.log,.log,low,none,158116,158116,158132,5.1479,0.4249,0.0003,0.0005,4.9052,6.9578,7.3204,3.1122,0.1335,0.0,26.8729,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000001.log,.log,low,none,96998,96998,97014,5.1464,0.3476,0.0006,0.0007,4.4884,5.6382,8.3497,0.0606,0.0516,0.0,21.5851,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000002.log,.log,low,none,289379,289379,289395,5.147,0.5733,0.0003,0.0004,4.3727,5.5102,7.2482,0.0443,0.2043,0.0,20.5674,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000003.log,.log,low,none,101959,101959,101975,5.1543,0.3018,0.0006,0.0006,5.5465,5.5967,7.3213,0.052,0.0707,0.0,21.5532,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000004.log,.log,low,none,507534,507534,507550,5.1486,0.7845,0.0006,0.0005,4.4514,5.509,8.5445,0.0592,0.4598,0.0,23.392,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000005.log,.log,low,none,196625,196625,196641,5.1468,0.4881,0.0003,0.0009,4.4916,5.661,7.1775,0.0554,0.1492,0.0,20.6498,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000006.log,.log,low,none,462432,462432,462448,5.1519,0.8648,0.0004,0.0005,5.5232,5.4755,7.2154,0.0526,0.3371,0.0,22.1324,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000007.log,.log,low,none,601628,601628,601644,5.1493,1.0854,0.0006,0.0006,4.466,5.5413,8.3734,0.0488,0.4295,0.0,22.5714,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000008.log,.log,low,none,654286,654286,654302,5.1485,1.1489,0.0004,0.0004,4.5188,5.565,7.2593,0.0537,0.4776,0.0,21.6599,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000009.log,.log,low,none,654566,654566,654582,5.1475,1.0898,0.0006,0.0004,5.5046,5.5229,7.2346,0.0539,0.4547,0.0,22.598,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000010.log,.log,low,none,476438,476438,476454,5.1475,0.8637,0.0003,0.0004,4.4312,5.5571,8.2653,0.0523,0.3273,0.0,22.1489,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000011.log,.log,low,none,337439,337439,337455,5.1466,0.8665,0.0004,0.0007,4.4801,5.6167,7.2283,0.0523,0.103,0.0,20.9655,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000012.log,.log,low,none,48470,48470,48486,5.1477,0.457,0.0004,0.0004,5.5178,5.5796,7.2456,0.0534,0.0245,0.0,20.8171,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000013.log,.log,low,none,522001,522001,522017,5.1472,1.0003,0.0004,0.0005,4.5016,5.5902,8.4579,0.0518,0.1707,0.0,22.5078,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000014.log,.log,low,none,275621,275621,275637,5.151,0.7735,0.0004,0.0004,4.6745,5.6261,7.3695,0.0513,0.0857,0.0,21.2369,,2026-08-13T11:25:05
D2,B,python,0,20260801,d2_000015.log,.log,low,none,118605,118605,118621,5.1403,0.418,0.0003,0.0005,5.6076,5.5119,7.1896,0.0514,0.0468,0.0,21.4468,,2026-08-13T11:25:05
