corpus,config,kem,replicate,seed,file,extension,family,route,size_bytes,payload_bytes,cipher_bytes,entropy_bits_per_byte,t_io_ms,t_entropy_ms,t_compress_ms,t_kem_keygen_ms,t_kem_encaps_ms,t_kem_decaps_ms,t_kdf_ms,t_aes_encrypt_ms,t_aes_decrypt_ms,t_total_ms,verified,timestamp
D3,B,python,0,20260801,d3_000200.bin,.bin,high,none,30413456,30413456,30413472,7.9974,19.95,0.0004,0.0004,4.6106,5.676,7.3503,0.0537,18.406,0.0,58.1307,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000201.bin,.bin,high,none,36132141,36132141,36132157,7.9974,20.5677,0.0006,0.0007,4.5678,5.6476,7.3527,0.0531,21.9647,0.0,62.2535,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000202.bin,.bin,high,none,67836040,67836040,67836056,7.9973,42.6832,0.0004,0.0006,4.5963,5.9002,7.2997,0.0614,40.8139,0.0,103.4211,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000203.bin,.bin,high,none,57613191,57613191,57613207,7.997,31.6738,0.0006,0.0004,4.6029,5.5695,7.2891,0.0515,34.9348,0.0,86.1682,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000204.bin,.bin,high,none,60370682,60370682,60370698,7.9975,34.2218,0.0006,0.0005,4.5523,5.6108,7.3299,0.0524,36.5502,0.0,90.5309,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000205.bin,.bin,high,none,21134778,21134778,21134794,7.997,12.4741,0.0004,0.0008,4.6014,5.7416,7.4125,0.0639,5.9192,0.0,38.2964,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000206.bin,.bin,high,none,35164636,35164636,35164652,7.9971,19.6729,0.0005,0.0008,4.5896,5.6727,7.3365,0.0516,21.4592,0.0,60.8716,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000207.bin,.bin,high,none,67856019,67856019,67856035,7.9973,41.6381,0.0004,0.0005,4.5495,5.6263,7.3377,0.053,40.4305,0.0,101.9076,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000208.bin,.bin,high,none,49449691,49449691,49449707,7.9979,28.0914,0.0004,0.0004,4.7209,5.8038,7.4751,0.051,30.1182,0.0,78.3344,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000209.bin,.bin,high,none,79751136,79751136,79751152,7.997,47.3393,0.0003,0.0005,4.6268,5.6696,7.558,0.0509,47.7428,0.0,115.0653,,2026-08-13T11:05:56
