corpus,config,kem,replicate,seed,file,extension,family,route,size_bytes,payload_bytes,cipher_bytes,entropy_bits_per_byte,t_io_ms,t_entropy_ms,t_compress_ms,t_kem_keygen_ms,t_kem_encaps_ms,t_kem_decaps_ms,t_kdf_ms,t_aes_encrypt_ms,t_aes_decrypt_ms,t_total_ms,verified,timestamp
D1,B,python,0,20260801,0.PNG,.png,high,none,385966,385966,385982,7.9845,0.2218,0.0004,0.0005,4.9603,5.5577,7.1886,3.3412,0.2569,0.0,25.0181,,2026-08-13T09:47:24
D1,B,python,0,20260801,00.PNG,.png,high,none,805205,805205,805221,7.9695,0.3621,0.0003,0.0004,4.3933,5.5453,7.1873,0.0273,0.5392,0.0,20.1157,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001059-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0327,0.0003,0.0004,4.3869,5.4805,7.1806,0.0225,0.0058,0.0,17.2188,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001060-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0248,0.0002,0.0003,4.348,5.5095,7.214,0.0148,0.0042,0.0,17.2114,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001061-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0228,0.0002,0.0003,4.3538,5.4945,7.1748,0.0159,0.0043,0.0,17.1621,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001061-0000000000.log,.log,low,none,65550,65550,65566,5.8017,0.0342,0.0001,0.0003,4.3974,5.5064,7.1975,0.0173,0.0403,0.0,19.6447,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001062-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0252,0.0002,0.0004,4.3665,5.4896,7.2254,0.0214,0.0057,0.0,17.2336,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001062-0000000000.log,.log,low,none,65550,65550,65566,5.8015,0.038,0.0003,0.0003,4.3449,5.49,7.1748,0.0179,0.02,0.0,19.5368,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001063-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0275,0.0002,0.0003,4.3805,5.4774,7.2035,0.0202,0.0056,0.0,17.2246,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001063-0000000000.log,.log,low,none,65550,65550,65566,5.8017,0.0378,0.0003,0.0003,4.3682,5.5083,7.1956,0.0222,0.0225,0.0,19.5842,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001064-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0324,0.0003,0.0006,4.3846,5.4753,7.1913,0.0173,0.0045,0.0,17.2044,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001064-0000000000.log,.log,low,none,65550,65550,65566,5.8014,0.0365,0.0002,0.0003,4.3873,5.5115,7.2403,0.0399,0.0271,0.0,19.6711,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001065-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0467,0.0005,0.0003,4.3902,5.4862,7.1939,0.027,0.0062,0.0,17.262,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001065-0000000000.log,.log,low,none,65550,65550,65566,5.8017,0.0472,0.0003,0.0003,4.3605,5.4831,7.1872,0.0201,0.0219,0.0,19.5693,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001066-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0289,0.0002,0.0005,4.3865,5.5019,7.2062,0.0176,0.0048,0.0,17.2431,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001066-0000000000.log,.log,low,none,65550,65550,65566,5.8018,0.0351,0.0003,0.0004,4.3688,5.4791,7.2739,0.0371,0.0243,0.0,19.6967,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001067-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0429,0.0005,0.0007,4.381,5.5119,7.2071,0.0246,0.0052,0.0,17.2787,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001067-0000000000.log,.log,low,none,65550,65550,65566,5.8015,0.0431,0.0004,0.0003,4.3944,5.5113,7.228,0.0216,0.0247,0.0,19.7117,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001068-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0316,0.0003,0.0006,4.8517,5.5208,7.2183,0.0311,0.0055,0.0,17.7648,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001068-0000000000.log,.log,low,none,65550,65550,65566,5.8017,0.044,0.0003,0.0003,4.3876,5.5169,7.1995,0.0174,0.0222,0.0,19.6177,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001069-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0252,0.0002,0.0003,4.3926,5.4965,7.2091,0.018,0.0048,0.0,17.2509,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001069-0000000000.log,.log,low,none,65550,65550,65566,5.8014,0.0369,0.0002,0.0003,4.3932,5.5006,7.2281,0.018,0.0207,0.0,19.6354,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001070-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.025,0.0005,0.0003,4.3953,5.4955,7.2097,0.0179,0.0046,0.0,17.245,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001070-0000000000.log,.log,low,none,65550,65550,65566,5.8017,0.0367,0.0001,0.0003,4.3776,5.5116,7.2191,0.0218,0.022,0.0,19.6519,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001071-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0279,0.0001,0.0003,4.408,5.5277,7.2364,0.0218,0.0054,0.0,17.3289,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001071-0000000000.log,.log,low,none,65550,65550,65566,5.8016,0.0385,0.0002,0.0003,4.3919,5.5253,7.2218,0.0213,0.0219,0.0,19.6753,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001072-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0348,0.0007,0.0003,4.4324,5.5064,7.2207,0.0237,0.005,0.0,17.323,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001072-0000000000.log,.log,low,none,65550,65550,65566,5.8017,0.0381,0.0001,0.0004,4.3823,5.5028,7.22,0.0195,0.0223,0.0,19.6156,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001073-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0288,0.0002,0.0004,4.3827,5.5328,7.2183,0.0164,0.0044,0.0,17.2867,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001073-0000000000.log,.log,low,none,65550,65550,65566,5.8016,0.0359,0.0002,0.0003,4.3695,5.5069,7.2095,0.0169,0.0209,0.0,19.6079,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001074-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0253,0.0001,0.0003,4.375,5.5073,7.2073,0.019,0.0051,0.0,17.2363,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001074-0000000000.log,.log,low,none,65550,65550,65566,5.8016,0.0369,0.0001,0.0003,4.3868,5.527,7.2145,0.0157,0.019,0.0,19.6291,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001075-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0262,0.0001,0.0003,4.4098,5.5239,7.2203,0.0168,0.0039,0.0,17.2945,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001075-0000000000.log,.log,low,none,65550,65550,65566,5.8016,0.0342,0.0001,0.0003,4.3961,5.5229,7.2216,0.014,0.0183,0.0,19.6837,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001076-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.0224,0.0001,0.0003,4.3756,5.5199,7.2171,0.0194,0.0043,0.0,17.254,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001076-0000000000.log,.log,low,none,65550,65550,65566,5.8015,0.0381,0.0001,0.0003,4.3829,5.5042,7.2113,0.0164,0.0187,0.0,19.6134,,2026-08-13T09:47:24
D1,B,python,0,20260801,0000001077-0000000000.json,.json,low,none,1978,1978,1994,3.3028,0.023,0.0002,0.0003,4.384,5.5209,7.2035,0.0194,0.0044,0.0,17.2524,,2026-08-13T09:47:24
